Order_ID,Category,Sales,Quantity,Profit,Order_Date
1001,Furniture,261.96,2,41.91,2023-01-03
1002,Technology,731.94,3,219.58,2023-01-04
1003,Office Supplies,14.62,2,6.87,2023-01-05
1004,Furniture,957.58,5,-383.03,2023-01-07
1005,Office Supplies,22.37,2,2.52,2023-01-08
1006,Technology,2717.95,9,1082.78,2023-01-09
1007,Furniture,685.38,7,109.66,2023-01-10
1008,Office Supplies,55.50,3,8.33,2023-01-11
1009,Technology,420.00,5,168.00,2023-01-13
1010,Furniture,258.58,3,19.39,2023-01-15
1011,Office Supplies,120.98,5,36.29,2023-01-16
1012,Technology,1823.64,6,729.46,2023-01-18
1013,Furniture,451.20,4,-54.14,2023-01-20
1014,Office Supplies,68.81,1,27.52,2023-01-21
1015,Technology,911.42,4,364.57,2023-01-23
1016,Furniture,1044.63,3,313.39,2023-02-01
1017,Office Supplies,15.55,3,5.44,2023-02-03
1018,Technology,1256.22,2,502.49,2023-02-05
1019,Furniture,782.91,7,-391.46,2023-02-07
1020,Office Supplies,134.76,4,40.43,2023-02-09
1021,Technology,2892.51,11,1157.00,2023-02-11
1022,Furniture,623.24,5,124.65,2023-02-13
1023,Office Supplies,45.98,2,18.39,2023-02-15
1024,Technology,625.08,3,250.03,2023-02-17
1025,Furniture,1122.40,8,224.48,2023-02-19
1026,Office Supplies,92.16,6,27.65,2023-02-21
1027,Technology,1950.42,7,780.17,2023-02-23
1028,Furniture,340.15,2,68.03,2023-02-25
1029,Office Supplies,210.98,5,84.39,2023-02-27
1030,Technology,3991.68,12,1596.67,2023-03-01
1031,Furniture,890.35,4,-267.11,2023-03-05
1032,Office Supplies,78.69,3,31.48,2023-03-08
1033,Technology,1678.50,5,671.40,2023-03-12
1034,Furniture,1560.28,6,312.06,2023-03-15
1035,Office Supplies,156.48,8,46.94,2023-03-18
1036,Technology,2234.88,8,893.95,2023-03-22
1037,Furniture,445.50,3,89.10,2023-03-25
1038,Office Supplies,98.22,4,29.47,2023-03-28
1039,Technology,1445.76,6,578.30,2023-04-02
1040,Furniture,1789.42,9,357.88,2023-04-06
1041,Office Supplies,234.56,7,70.37,2023-04-10
1042,Technology,3125.88,10,1250.35,2023-04-14
1043,Furniture,678.90,5,-135.78,2023-04-18
1044,Office Supplies,145.78,6,43.73,2023-04-22
1045,Technology,2567.34,9,1026.94,2023-04-26
1046,Furniture,1234.56,7,246.91,2023-04-30
1047,Office Supplies,189.45,5,56.84,2023-05-04
1048,Technology,4123.67,15,1649.47,2023-05-08
1049,Furniture,567.89,4,-113.58,2023-05-12
1050,Office Supplies,298.76,9,89.63,2023-05-16
